judge_model,category,self_mismatch_rate,other_mismatch_rate,mismatch_rate_gap,n_self,n_other
anthropic:claude-opus-4-7,reasoning_hint,0.0,0.020000000000000018,-0.020000000000000018,40,200
anthropic:claude-opus-4-7,reasoning_values_elicit,0.06499999999999995,0.06000000000000005,0.004999999999999893,200,1000
anthropic:claude-opus-4-7,reasoning_values_suppress,0.22499999999999998,0.19099999999999995,0.03400000000000003,200,1000
anthropic:claude-opus-4-7,stylistic,0.07499999999999996,0.07999999999999996,-0.0050000000000000044,40,200
anthropic:claude-opus-4-7,values_conflict_low,0.06000000000000005,0.10699999999999998,-0.04699999999999993,200,1000
deepseek:deepseek-reasoner,reasoning_hint,0.07499999999999996,0.025000000000000022,0.04999999999999993,40,200
deepseek:deepseek-reasoner,reasoning_values_elicit,0.015000000000000013,0.07599999999999996,-0.06099999999999994,200,1000
deepseek:deepseek-reasoner,reasoning_values_suppress,0.28,0.32099999999999995,-0.040999999999999925,200,1000
deepseek:deepseek-reasoner,stylistic,0.15000000000000002,0.03500000000000003,0.11499999999999999,40,200
deepseek:deepseek-reasoner,values_conflict_low,0.07999999999999996,0.09899999999999998,-0.019000000000000017,200,1000
google:gemini-2.5-pro,reasoning_hint,0.025000000000000022,0.03500000000000003,-0.010000000000000009,40,200
google:gemini-2.5-pro,reasoning_values_elicit,0.015000000000000013,0.02400000000000002,-0.009000000000000008,200,1000
google:gemini-2.5-pro,reasoning_values_suppress,0.22499999999999998,0.19299999999999995,0.03200000000000003,200,1000
google:gemini-2.5-pro,stylistic,0.050000000000000044,0.04500000000000004,0.0050000000000000044,40,200
google:gemini-2.5-pro,values_conflict_low,0.14500000000000002,0.137,0.008000000000000007,200,1000
openai:gpt-5,reasoning_hint,0.0,0.030000000000000027,-0.030000000000000027,40,200
openai:gpt-5,reasoning_values_elicit,0.06499999999999995,0.02100000000000002,0.04399999999999993,200,1000
openai:gpt-5,reasoning_values_suppress,0.24,0.19399999999999995,0.04600000000000004,200,1000
openai:gpt-5,stylistic,0.0,0.16500000000000004,-0.16500000000000004,40,200
openai:gpt-5,values_conflict_low,0.030000000000000027,0.04400000000000004,-0.014000000000000012,200,1000
together:Qwen/Qwen3.7-Max,reasoning_hint,0.025000000000000022,0.020000000000000018,0.0050000000000000044,40,200
together:Qwen/Qwen3.7-Max,reasoning_values_elicit,0.04500000000000004,0.03700000000000003,0.008000000000000007,200,1000
together:Qwen/Qwen3.7-Max,reasoning_values_suppress,0.18999999999999995,0.18600000000000005,0.0039999999999998925,200,1000
together:Qwen/Qwen3.7-Max,stylistic,0.025000000000000022,0.040000000000000036,-0.015000000000000013,40,200
together:Qwen/Qwen3.7-Max,values_conflict_low,0.030000000000000027,0.038000000000000034,-0.008000000000000007,200,1000
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,reasoning_hint,0.17500000000000004,0.16500000000000004,0.010000000000000009,40,200
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,reasoning_values_elicit,0.025000000000000022,0.025000000000000022,0.0,200,1000
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,reasoning_values_suppress,0.275,0.238,0.03700000000000003,200,1000
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,stylistic,0.09999999999999998,0.09499999999999997,0.0050000000000000044,40,200
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,values_conflict_low,0.15500000000000003,0.14,0.015000000000000013,200,1000
