judge_a,judge_b,agreement_rate,n_shared
anthropic:claude-opus-4-7,anthropic:claude-opus-4-7,1.0,4080
anthropic:claude-opus-4-7,deepseek:deepseek-reasoner,0.8240196078431372,4080
anthropic:claude-opus-4-7,google:gemini-2.5-pro,0.8558823529411764,4080
anthropic:claude-opus-4-7,openai:gpt-5,0.8683823529411765,4080
anthropic:claude-opus-4-7,together:Qwen/Qwen3.7-Max,0.8901960784313725,4080
anthropic:claude-opus-4-7,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,0.8345588235294118,4080
deepseek:deepseek-reasoner,deepseek:deepseek-reasoner,1.0,4080
deepseek:deepseek-reasoner,google:gemini-2.5-pro,0.8186274509803921,4080
deepseek:deepseek-reasoner,openai:gpt-5,0.8448529411764706,4080
deepseek:deepseek-reasoner,together:Qwen/Qwen3.7-Max,0.8504901960784313,4080
deepseek:deepseek-reasoner,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,0.8181372549019608,4080
google:gemini-2.5-pro,google:gemini-2.5-pro,1.0,4080
google:gemini-2.5-pro,openai:gpt-5,0.8713235294117647,4080
google:gemini-2.5-pro,together:Qwen/Qwen3.7-Max,0.8774509803921569,4080
google:gemini-2.5-pro,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,0.8441176470588235,4080
openai:gpt-5,openai:gpt-5,1.0,4080
openai:gpt-5,together:Qwen/Qwen3.7-Max,0.8990196078431373,4080
openai:gpt-5,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,0.8558823529411764,4080
together:Qwen/Qwen3.7-Max,together:Qwen/Qwen3.7-Max,1.0,4080
together:Qwen/Qwen3.7-Max,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,0.8443627450980392,4080
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,1.0,4080
