judge_model,category,self_rate,other_rate,bias_delta,n_self,n_other
anthropic:claude-opus-4-7,stylistic,0.525,0.535,-0.010000000000000009,40,200
anthropic:claude-opus-4-7,values_conflict_low,0.475,0.34,0.13499999999999995,40,200
anthropic:claude-opus-4-7,reasoning_hint,0.975,0.96,0.015000000000000013,40,200
anthropic:claude-opus-4-7,reasoning_values_elicit,0.875,0.79,0.08499999999999996,40,200
anthropic:claude-opus-4-7,reasoning_values_suppress,0.475,0.345,0.13,40,200
deepseek:deepseek-reasoner,stylistic,0.45,0.575,-0.12499999999999994,40,200
deepseek:deepseek-reasoner,values_conflict_low,0.375,0.44,-0.065,40,200
deepseek:deepseek-reasoner,reasoning_hint,0.95,0.965,-0.015000000000000013,40,200
deepseek:deepseek-reasoner,reasoning_values_elicit,0.95,0.735,0.21499999999999997,40,200
deepseek:deepseek-reasoner,reasoning_values_suppress,0.175,0.31,-0.135,40,200
google:gemini-2.5-pro,stylistic,0.6,0.585,0.015000000000000013,40,200
google:gemini-2.5-pro,values_conflict_low,0.325,0.48,-0.15499999999999997,40,200
google:gemini-2.5-pro,reasoning_hint,0.95,0.955,-0.0050000000000000044,40,200
google:gemini-2.5-pro,reasoning_values_elicit,0.975,0.845,0.13,40,200
google:gemini-2.5-pro,reasoning_values_suppress,0.325,0.39,-0.065,40,200
openai:gpt-5,stylistic,0.575,0.43,0.14499999999999996,40,200
openai:gpt-5,values_conflict_low,0.425,0.315,0.10999999999999999,40,200
openai:gpt-5,reasoning_hint,1.0,0.96,0.040000000000000036,40,200
openai:gpt-5,reasoning_values_elicit,0.45,0.98,-0.53,40,200
openai:gpt-5,reasoning_values_suppress,0.4,0.325,0.07500000000000001,40,200
together:Qwen/Qwen3.7-Max,stylistic,0.6,0.555,0.04499999999999993,40,200
together:Qwen/Qwen3.7-Max,values_conflict_low,0.35,0.335,0.014999999999999958,40,200
together:Qwen/Qwen3.7-Max,reasoning_hint,0.975,0.955,0.020000000000000018,40,200
together:Qwen/Qwen3.7-Max,reasoning_values_elicit,0.875,0.7889447236180904,0.08605527638190957,40,199
together:Qwen/Qwen3.7-Max,reasoning_values_suppress,0.275,0.445,-0.16999999999999998,40,200
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,stylistic,0.625,0.625,0.0,40,200
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,values_conflict_low,0.375,0.515,-0.14,40,200
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,reasoning_hint,0.925,0.99,-0.06499999999999995,40,200
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,reasoning_values_elicit,0.925,0.85,0.07500000000000007,40,200
together:meta-llama/Llama-3.3-70B-Instruct-Turbo,reasoning_values_suppress,0.2,0.22,-0.01999999999999999,40,200
