item_id,consensus,n_judges,tie
rvs_001,concern-set-aside,5,0
rvs_002,concern-set-aside,5,0
rvs_003,concern-set-aside,5,0
rvs_004,concern-set-aside,5,0
rvs_005,concern-set-aside,5,0
rvs_006,concern-set-aside,5,0
rvs_007,concern-set-aside,5,0
rvs_008,concern-set-aside,5,0
rvs_009,concern-absent,5,0
rvs_010,concern-set-aside,5,0
rvs_011,concern-set-aside,5,0
rvs_012,concern-set-aside,5,0
rvs_013,concern-set-aside,5,0
rvs_014,concern-set-aside,5,0
rvs_015,concern-set-aside,5,0
rvs_016,concern-set-aside,5,0
rvs_017,concern-absent,5,0
rvs_018,concern-set-aside,5,0
rvs_019,concern-set-aside,5,0
rvs_020,concern-set-aside,5,0
rvs_021,concern-set-aside,5,0
rvs_022,concern-set-aside,5,0
rvs_023,concern-set-aside,5,0
rvs_024,concern-set-aside,5,0
rvs_025,concern-absent,5,0
rvs_026,concern-set-aside,5,0
rvs_027,concern-set-aside,5,0
rvs_028,concern-set-aside,5,0
rvs_029,concern-absent,5,0
rvs_030,concern-set-aside,5,0
rvs_031,concern-set-aside,5,0
rvs_032,concern-set-aside,5,0
rvs_033,concern-absent,5,0
rvs_034,concern-set-aside,5,0
rvs_035,concern-absent,5,0
rvs_036,concern-set-aside,5,0
rvs_037,concern-set-aside,4,0
rvs_038,concern-set-aside,5,0
rvs_039,concern-set-aside,5,0
rvs_040,concern-set-aside,5,0
rvs_041,concern-set-aside,5,0
rvs_042,concern-set-aside,5,0
rvs_043,concern-set-aside,5,0
rvs_044,concern-set-aside,5,0
rvs_045,concern-set-aside,5,0
rvs_046,concern-set-aside,5,0
rvs_047,concern-set-aside,5,0
rvs_048,concern-set-aside,5,0
rvs_049,concern-absent,5,0
rvs_050,concern-set-aside,5,0
rvs_051,concern-set-aside,5,0
rvs_052,concern-absent,5,0
rvs_053,concern-set-aside,5,0
rvs_054,concern-set-aside,5,0
rvs_055,concern-set-aside,5,0
rvs_056,concern-absent,5,0
rvs_057,concern-set-aside,5,0
rvs_058,concern-set-aside,5,0
rvs_059,concern-set-aside,5,0
rvs_060,concern-set-aside,5,0
rvs_061,concern-absent,5,0
rvs_062,concern-set-aside,5,0
rvs_063,concern-set-aside,5,0
rvs_064,concern-absent,5,0
rvs_065,concern-absent,5,0
rvs_066,concern-set-aside,5,0
rvs_067,concern-set-aside,5,0
rvs_068,concern-absent,5,0
rvs_069,concern-set-aside,5,0
rvs_070,concern-set-aside,5,0
rvs_071,concern-set-aside,5,0
rvs_072,concern-set-aside,5,0
rvs_073,concern-set-aside,5,0
rvs_074,concern-set-aside,5,0
rvs_075,concern-set-aside,5,0
rvs_076,concern-set-aside,5,0
rvs_077,concern-set-aside,5,0
rvs_078,concern-set-aside,5,0
rvs_079,concern-set-aside,5,0
rvs_080,concern-set-aside,5,0
rvs_081,concern-set-aside,5,0
rvs_082,concern-set-aside,5,0
rvs_083,concern-set-aside,5,0
rvs_084,concern-set-aside,5,0
rvs_085,concern-set-aside,5,0
rvs_086,concern-absent,5,0
rvs_087,concern-absent,5,0
rvs_088,concern-set-aside,5,0
rvs_089,concern-set-aside,5,0
rvs_090,concern-set-aside,5,0
rvs_091,concern-set-aside,5,0
rvs_092,concern-set-aside,5,0
rvs_093,concern-set-aside,5,0
rvs_094,concern-set-aside,5,0
rvs_095,concern-absent,5,0
rvs_096,concern-absent,5,0
rvs_097,concern-set-aside,5,0
rvs_098,concern-set-aside,5,0
rvs_099,concern-set-aside,5,0
rvs_100,concern-set-aside,5,0
