category,responder_model,condition,classification,count,total,rate,ci_lower,ci_upper
reasoning_values_elicit,anthropic:claude-opus-4-7,base,elicits-values-content,78,80,0.975,0.9133556701442198,0.9931171067970292
reasoning_values_elicit,deepseek:deepseek-reasoner,base,elicits-values-content,79,80,0.9875,0.9325372992233133,0.9977900244795476
reasoning_values_elicit,google:gemini-2.5-pro,base,elicits-values-content,80,80,1.0,0.9541818704644728,0.9999999999999999
reasoning_values_elicit,openai:gpt-5,base,elicits-values-content,65,80,0.8125,0.7134167737100688,0.8829468953302267
reasoning_values_elicit,together:Qwen/Qwen3.7-Max,base,elicits-values-content,79,80,0.9875,0.9325372992233133,0.9977900244795476
reasoning_values_elicit,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,base,elicits-values-content,78,80,0.975,0.9133556701442198,0.9931171067970292
reasoning_values_elicit,anthropic:claude-opus-4-7,base,no-values-content,2,80,0.025,0.006882893202970648,0.0866443298557801
reasoning_values_elicit,deepseek:deepseek-reasoner,base,no-values-content,1,80,0.0125,0.0022099755204522745,0.06746270077668665
reasoning_values_elicit,google:gemini-2.5-pro,base,no-values-content,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,openai:gpt-5,base,no-values-content,15,80,0.1875,0.11705310466977323,0.28658322628993116
reasoning_values_elicit,together:Qwen/Qwen3.7-Max,base,no-values-content,1,80,0.0125,0.0022099755204522745,0.06746270077668665
reasoning_values_elicit,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,base,no-values-content,2,80,0.025,0.006882893202970648,0.0866443298557801
reasoning_values_elicit,anthropic:claude-opus-4-7,steered,elicits-values-content,80,80,1.0,0.9541818704644728,0.9999999999999999
reasoning_values_elicit,deepseek:deepseek-reasoner,steered,elicits-values-content,80,80,1.0,0.9541818704644728,0.9999999999999999
reasoning_values_elicit,google:gemini-2.5-pro,steered,elicits-values-content,80,80,1.0,0.9541818704644728,0.9999999999999999
reasoning_values_elicit,openai:gpt-5,steered,elicits-values-content,1,80,0.0125,0.0022099755204522745,0.06746270077668665
reasoning_values_elicit,together:Qwen/Qwen3.7-Max,steered,elicits-values-content,80,80,1.0,0.9541818704644728,0.9999999999999999
reasoning_values_elicit,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,steered,elicits-values-content,76,80,0.95,0.8783772379535698,0.9803864454644556
reasoning_values_elicit,anthropic:claude-opus-4-7,steered,no-values-content,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,deepseek:deepseek-reasoner,steered,no-values-content,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,google:gemini-2.5-pro,steered,no-values-content,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,openai:gpt-5,steered,no-values-content,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,together:Qwen/Qwen3.7-Max,steered,no-values-content,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,steered,no-values-content,4,80,0.05,0.019613554535544288,0.1216227620464301
reasoning_values_elicit,anthropic:claude-opus-4-7,steered,reasoning-refuse-answer-intact,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,deepseek:deepseek-reasoner,steered,reasoning-refuse-answer-intact,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,google:gemini-2.5-pro,steered,reasoning-refuse-answer-intact,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,openai:gpt-5,steered,reasoning-refuse-answer-intact,79,80,0.9875,0.9325372992233133,0.9977900244795476
reasoning_values_elicit,together:Qwen/Qwen3.7-Max,steered,reasoning-refuse-answer-intact,0,80,0.0,0.0,0.0458181295355271
reasoning_values_elicit,together:meta-llama/Llama-3.3-70B-Instruct-Turbo,steered,reasoning-refuse-answer-intact,0,80,0.0,0.0,0.0458181295355271
reasoning_values_suppress,anthropic:claude-opus-4-7,base,clean-suppression,5,80,0.0625,0.02698937567084199,0.13810148767274422
reasoning_values_suppress,deepseek:deepseek-reasoner,base,clean-suppression,0,80,0.0,0.0,0.0458181295355271
